repo,stars,pushed_at,lockfile_type,pytest_evidence,agent_pr_count_90d,sample_pr_numbers,trailer_kinds,base_sha_of_first_sample_pr,python_requires,lock_kind
memtomem/memtomem,13,2026-09-02T02:54:26Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],5,2168;2165;1628;1607;1250,claude-coauthor;claude-code-gen;robot-gen,50238da931f08ad650a11471d2fdb7329d163e42,>=3.12,uv.lock
PostHog/posthog,39485,2026-08-31T01:05:55Z,uv.lock+pyproject.toml,conftest.py|pyproject:pytest-dep|pytest.ini,4,91029;89843;88990;65180,claude-code-gen;robot-gen,0b766bb17c1d01bc7d8dd96e42d36a8f085bdd8d,==3.13.13,uv.lock
gadievron/raptor,3686,2026-08-30T23:12:27Z,pinned:requirements-dev.txt,conftest.py|pytest.ini,4,922;921;920;919,claude-coauthor,e6d99ae025a2ccb6a6844234bd54408a6724314b,">=3.10,<4.0",pinned-requirements
jannikmi/timezonefinder,536,2026-09-02T02:54:22Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,4,581;580;579;575,claude-code-gen;robot-gen,82703f26b2ee5d44741397d5e9c6d66623a0585a,">=3.11,<4",uv.lock
Kohei-Wada/taskdog,351,2026-08-28T00:23:12Z,uv.lock+pyproject.toml,pyproject:pytest-dep,4,1199;1111;1110;1104,claude-code-gen;robot-gen,ab5b7cb7609effc43f9322e0ad5024d4898aab4c,>=3.12,uv.lock
FalkorDB/code-graph,347,2026-09-02T02:20:59Z,uv.lock+pyproject.toml,pyproject:pytest-dep|tests/test_*.py,4,702;701;698;678,copilot,252b126f1259a20bc0bc70985ddc7bcaebb264b3,">=3.12,<3.14",uv.lock
Ishannaik/agent-sweep,76,2026-08-25T21:37:57Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,4,12;7;3;2,claude-code-gen;robot-gen,a5855814131ca13dfd9fc65b065bb9ed744011fb,>=3.11,uv.lock
Synthefy/synthefy-nori,64,2026-08-29T20:02:58Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,4,127;119;115;92,claude-code-gen;robot-gen,00def6080469766e4e970cff0945718cdaa93776,>=3.9,uv.lock
manaakiwhenua/rhealpixdggs-py,22,2026-09-02T02:46:28Z,poetry.lock,tests/test_*.py,4,115;111;108;107,claude-code-gen;robot-gen,1043b89800cfe89fd69a9f1365d0f0cba0071a70,>=3.11,poetry.lock
CERTCC/Vultron,21,2026-08-28T22:11:05Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],4,2815;2756;2718;2705,claude-code-gen;robot-gen,124d44938fb55a950bb6a8c1cbb7900902bcc477,>=3.12,uv.lock
